DATE,GB_TRADE_BLNC,GB_GDP,GB_INFL,GB_INTR,GB_UNEMP,CAC,DAX,HKSE,NIKKEI,S&P500,STOXX,FTSE
2011-08-15,-0.002921978487142818,2.0638109533871463e-05,0.004651171175730939,0.0,0.0003866228542263317,0.007804288907108936,0.004076551371141712,0.03210346344901205,0.01359461891540592,0.02155072743682218,0.007405303826417242,0.005726023811399639
2011-08-16,-0.002930541472391468,2.0637683611102187e-05,0.004629637898742045,0.0,0.00038647343476215165,-0.002522476607594193,-0.004550230564529967,-0.0023729660178622436,0.0023106217854088618,-0.009786274786537708,-0.0003485507246022701,0.0013167468734028853
2011-08-17,-0.002939154793589971,2.0637257705791168e-05,0.004608303086194254,0.0,0.00038632413074632735,0.00722881130372699,-0.007696048917507414,0.0037998619186618288,-0.005523909417660011,0.0009469382377828017,0.0032010901885627385,-0.00487033237247414
2011-08-18,-0.0029478188958842466,2.063683181828535e-05,0.004587164006905925,0.0,0.00038617494204589917,-0.05634644902613317,-0.059946604529752756,-0.01353489183302442,-0.012610563964804422,-0.04561859958983727,-0.05489143928707463,-0.04593553218026952
2011-08-19,-0.0029565342296822283,2.0636405948265546e-05,0.004566217979581191,0.0,0.00038602586852652665,-0.019383425832665946,-0.022161337018803184,-0.03127648108246611,-0.025423951261252076,-0.015122756029436357,-0.021779844763535894,-0.010158984201605326
2011-08-20,-0.002965301250736685,2.0635980095787265e-05,0.0045454623716747605,0.0,0.0003858769100552155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-21,-0.00297412042022005,2.063555426090602e-05,0.004524894598289642,0.0,0.0003857280664991726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-22,-0.0029829922048087987,2.0635128443455275e-05,0.004504512121104573,0.0,0.00038557933772490754,0.01132778563441117,-0.0011357204162747436,0.0044719230359003825,-0.010504322920386167,0.0002580078802443264,0.011201060914454497,0.010761681831537362
2011-08-23,-0.002991917076763828,2.0634702643851366e-05,0.004484312447328734,0.0,0.0003854307235996949,0.010760032557223687,0.010648701002408001,0.01974843011668137,0.012082289641829114,0.033710248999916814,0.007569594488508025,0.006674046164627689
2011-08-24,-0.0030008955140157223,2.0634276861691836e-05,0.0044642931286852094,0.0,0.00038528222399170087,0.017732032657797325,0.026523287687377217,-0.020779402852204143,-0.010752588067064028,0.01303465136393367,0.017447058041130892,0.01479040088707484
2011-08-25,-0.003009928000247797,2.0633851097087708e-05,0.004444451760424184,0.0,0.0003851338387675929,-0.00656705552975656,-0.01721090792064517,0.014569188198850447,0.015248425860387549,-0.015687934685227778,-0.009875736988352313,-0.014462932100889836
2011-08-26,-0.003019015024986027,2.0633425350066736e-05,0.004424785980355658,0.0,0.00038498556779650514,-0.01010542722432961,-0.008390941297957921,-0.00862331781114073,0.002893538450074451,0.015008418016619118,-0.011917171420815387,-0.00022999662902961626
2011-08-27,-0.003028157083684535,2.0632999620476267e-05,0.004405293467916391,0.0,0.000384837410945511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-28,-0.0030373546778168503,2.0632573908718754e-05,0.0043859719432544075,0.0,0.0003846893680830299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-29,-0.0030466083149701673,2.0632148214391743e-05,0.004366819166340449,0.0,0.00038454143907822903,0.0213278721351412,0.023661912287452624,0.014309136149438462,0.006070497623935411,0.027887504820918396,0.022060928955658143,0.0
2011-08-30,-0.003055918508932498,2.0631722537509112e-05,0.0043478329361032325,0.0,0.00038439362379903,0.001754860031452976,-0.004622586576791932,0.016924119718898456,0.011519289646282571,0.0023442751140499984,-7.152312061453614e-05,0.026685996252426625
2011-08-31,-0.003065285779794147,2.0631296878431682e-05,0.004329011089585555,0.0,0.00038424592211466595,0.030243096639217315,0.024663602397731355,0.01623440885391353,0.00014515569847195486,0.004909908955411435,0.027721280177596896,0.0236094164419568
2011-09-01,-0.0030747106540415237,2.063087123681251e-05,0.004310351501122231,0.0,0.0003840983338945867,0.0027811264310008132,-0.009416996212999185,0.0024552662339350495,0.011723003926108921,-0.01194246103532659,0.0015929071662225125,0.0044612297222748065
2011-09-02,-0.003084193664655177,2.0630445612748738e-05,-0.001482579960222774,0.0,0.00039674668245092207,-0.036578279179403705,-0.03413242655407389,-0.018257173080312328,-0.0122211582799574,-0.02560701708427715,-0.03757454856577158,-0.023644791764948603
2011-09-03,-0.003093735351212601,2.0630020006240368e-05,-0.0014847812675792271,0.0,0.000396589336944907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-04,-0.003103336259988154,2.06295944171625e-05,-0.0014869891215781306,0.0,0.00039643211619285433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-05,-0.0031129969440591987,2.062916884591759e-05,-0.0014892035514677548,0.0,0.0003962750200461173,-0.04847672987873275,-0.05419279909523489,-0.029955545897438207,-0.01875198967809133,0.0,-0.052438174183723874,-0.03645562100299926
2011-09-06,-0.003122717963411459,2.0628743292075424e-05,-0.001491424586670162,0.0,0.00039611804835651236,-0.011366131900807819,-0.010001847538148811,0.004785517681130891,-0.022319120439917017,-0.007464076911629647,-0.01297726379043207,0.01057769462944197
2011-09-07,-0.0031324998850467134,2.062831775580254e-05,-0.0014936522567832872,0.0,0.00039596120097608323,0.03562000930951603,0.03992408514131418,0.016977909477254638,0.019919989952144168,0.028243825062517325,0.033591174024752646,0.03088424183357391
2011-09-08,-0.00314234328309404,2.0627892236974033e-05,-0.0014958865915827152,0.0,0.00039580447775789535,0.00410785621980736,0.0005419232199281865,-0.0067656370205589345,0.003384494418675832,-0.010668890638688588,0.0056738222964685114,0.004088580858067403
